year,lat
1917.010,13.1
1917.010,13.2
1917.010,13.7
1917.013,13.5
1917.013,13.6
1917.013,14.8
1917.015,-22.2
1917.015,14.3
1917.015,13.7
1917.015,15.3
1917.023,13.0
1917.062,-11.1
1917.062,10.0
1917.062,26.0
1917.064,-10.8
1917.064,9.2
1917.064,10.8
1917.064,27.0
1917.064,26.4
1917.067,-22.1
1917.067,-11.6
1917.067,8.8
1917.067,11.8
1917.067,27.2
1917.070,-10.7
1917.070,-26.1
1917.070,14.1
1917.070,11.5
1917.070,26.9
1917.073,-25.4
1917.073,11.6
1917.073,27.4
1917.076,6.9
1917.076,13.1
1917.076,13.1
1917.076,14.1
1917.078,13.0
1917.084,23.1
1917.084,12.8
1917.086,0.7
1917.086,23.2
1917.086,12.6
1917.088,22.1
1917.092,0.5
1917.092,23.4
1917.092,24.9
1917.095,0.5
1917.095,11.3
1917.095,23.2
1917.095,26.7
1917.097,-15.7
1917.097,13.2
1917.097,0.7
1917.097,25.0
1917.100,-15.2
1917.100,-8.6
1917.100,6.6
1917.100,13.0
1917.100,0.6
1917.100,26.1
1917.103,-15.1
1917.103,7.0
1917.103,13.4
1917.106,-16.8
1917.106,5.0
1917.108,-15.6
1917.108,-12.0
1917.108,6.8
1917.108,10.8
1917.117,19.6
1917.122,-4.8
1917.122,-18.3
1917.122,-24.0
1917.158,-21.5
1917.158,20.6
1917.160,-21.0
1917.160,25.0
1917.160,25.8
1917.160,21.0
1917.171,11.7
1917.171,25.0
1917.171,24.4
1917.174,-15.5
1917.174,12.5
1917.174,24.7
1917.174,22.7
1917.177,-17.1
1917.177,24.0
1917.180,-16.7
1917.180,19.2
1917.180,14.1
1917.180,10.2
1917.180,24.2
1917.192,20.0
1917.207,-15.4
1917.207,-11.0
1917.207,12.1
1917.207,-30.9
1917.210,-14.0
1917.210,-28.4
1917.210,-13.9
1917.210,13.7
1917.212,-9.8
1917.212,-14.1
1917.212,-9.9
1917.212,-31.2
1917.212,-16.4
1917.212,13.0
1917.215,-9.6
1917.215,-9.6
1917.215,-29.6
1917.215,-32.0
1917.215,-15.5
1917.215,13.6
1917.218,-8.7
1917.218,-29.4
1917.218,-15.6
1917.218,5.8
1917.218,16.0
1917.221,-10.7
1917.221,-30.4
1917.221,4.6
1917.221,6.7
1917.221,10.0
1917.223,11.9
1917.223,10.1
1917.223,18.6
1917.226,11.1
1917.226,17.9
1917.226,9.2
1917.229,-15.6
1917.229,9.6
1917.229,13.5
1917.229,22.9
1917.229,11.4
1917.229,9.2
1917.229,17.6
1917.232,9.9
1917.232,23.8
1917.232,10.5
1917.232,17.7
1917.232,9.0
1917.234,7.9
1917.234,22.2
1917.234,8.7
1917.234,18.2
1917.234,10.1
1917.237,13.2
1917.237,8.6
1917.237,9.7
1917.248,8.3
1917.248,14.8
1917.265,5.2
1917.276,-8.4
1917.276,-13.6
1917.276,17.8
1917.278,-14.7
1917.278,-9.1
1917.278,-16.0
1917.278,11.5
1917.278,17.3
1917.297,-16.3
1917.297,-10.0
1917.297,-28.7
1917.297,16.3
1917.297,11.9
1917.297,11.3
1917.300,-9.9
1917.300,-27.6
1917.300,-29.6
1917.300,11.7
1917.300,17.1
1917.300,10.8
1917.303,-9.6
1917.303,-27.7
1917.303,13.4
1917.303,18.5
1917.303,19.8
1917.306,-11.0
1917.306,-29.3
1917.306,13.4
1917.306,18.8
1917.306,19.6
1917.308,-28.7
1917.308,12.0
1917.308,18.4
1917.308,18.9
1917.311,-15.9
1917.311,7.4
1917.311,12.0
1917.311,16.6
1917.311,18.3
1917.314,-16.7
1917.314,6.9
1917.314,22.4
1917.314,15.9
1917.325,-18.2
1917.328,-17.9
1917.328,-19.7
1917.328,-21.0
1917.328,-20.8
1917.328,21.3
1917.330,-16.7
1917.330,-19.0
1917.330,-21.5
1917.330,-21.4
1917.330,-22.4
1917.330,-18.0
1917.333,-19.3
1917.333,-21.6
1917.333,-16.4
1917.333,-18.6
1917.336,-20.2
1917.336,-21.3
1917.336,-16.7
1917.336,-19.3
1917.336,16.8
1917.358,-12.0
1917.358,-16.0
1917.358,9.1
1917.358,18.4
1917.360,-11.4
1917.360,-16.7
1917.360,9.1
1917.360,19.0
1917.363,-10.1
1917.363,-16.2
1917.363,9.1
1917.363,9.3
1917.363,19.8
1917.366,-15.7
1917.366,-16.7
1917.366,-29.2
1917.366,15.4
1917.366,9.1
1917.366,9.7
1917.366,19.7
1917.369,-14.9
1917.369,-19.0
1917.369,-27.3
1917.369,5.4
1917.369,16.4
1917.369,10.1
1917.371,-16.7
1917.371,6.5
1917.371,18.1
1917.371,9.9
1917.371,9.9
1917.380,5.9
1917.381,6.0
1917.385,-15.9
1917.385,9.8
1917.385,18.2
1917.402,-18.3
1917.402,-24.4
1917.404,-23.8
1917.404,-23.4
1917.404,-5.1
1917.404,-14.1
1917.404,-15.9
1917.404,15.5
1917.404,5.9
1917.404,16.3
1917.415,-5.7
1917.415,-14.9
1917.415,-5.5
1917.415,-15.1
1917.415,14.8
1917.415,15.6
1917.418,-5.4
1917.418,-15.1
1917.418,-15.4
1917.418,-21.6
1917.421,-4.3
1917.421,-13.8
1917.421,-14.5
1917.421,-22.2
1917.423,-14.3
1917.423,-22.8
1917.423,8.0
1917.426,-22.3
1917.426,7.5
1917.429,-8.1
1917.429,-21.6
1917.429,-10.5
1917.429,9.4
1917.437,-22.2
1917.437,-10.7
1917.437,-25.7
1917.437,10.1
1917.440,-10.8
1917.440,-24.9
1917.440,-14.2
1917.440,19.4
1917.440,9.8
1917.440,15.1
1917.443,-10.8
1917.443,-25.0
1917.443,-14.4
1917.443,5.7
1917.443,20.6
1917.443,17.8
1917.443,10.4
1917.443,15.3
1917.445,-10.6
1917.445,-24.7
1917.445,-15.1
1917.445,5.7
1917.445,20.5
1917.445,18.7
1917.445,11.6
1917.448,-10.8
1917.448,-14.6
1917.448,6.3
1917.448,18.6
1917.451,-14.6
1917.451,-3.7
1917.451,-17.8
1917.451,-18.0
1917.451,19.2
1917.453,-2.7
1917.453,-14.4
1917.453,-17.8
1917.453,-18.7
1917.453,13.1
1917.453,21.0
1917.453,18.9
1917.456,-14.0
1917.456,-3.3
1917.456,-2.7
1917.456,-17.9
1917.456,-19.1
1917.456,9.3
1917.456,12.1
1917.456,17.9
1917.456,18.6
1917.459,-13.2
1917.459,-17.8
1917.459,-19.3
1917.459,8.9
1917.459,12.3
1917.459,17.7
1917.459,19.2
1917.462,-13.6
1917.462,-17.4
1917.462,-18.8
1917.462,9.6
1917.462,12.0
1917.462,17.4
1917.465,-18.6
1917.465,9.4
1917.465,14.7
1917.465,12.2
1917.467,10.0
1917.467,11.2
1917.470,-26.2
1917.470,-9.7
1917.470,12.4
1917.470,10.7
1917.470,15.7
1917.470,18.4
1917.470,13.3
1917.473,-24.0
1917.473,-7.6
1917.473,10.1
1917.473,13.3
1917.473,10.0
1917.473,14.7
1917.473,17.3
1917.473,11.4
1917.475,-25.0
1917.475,-8.8
1917.475,8.5
1917.475,13.2
1917.475,11.6
1917.486,-22.8
1917.486,-21.7
1917.486,-17.5
1917.486,10.5
1917.488,10.1
1917.492,-22.4
1917.492,10.9
1917.492,9.9
1917.492,18.2
1917.492,11.3
1917.492,6.9
1917.495,-19.2
1917.495,18.2
1917.497,11.0
1917.497,16.9
1917.500,-17.1
1917.500,-19.9
1917.500,-15.5
1917.500,-16.5
1917.500,8.1
1917.500,11.8
1917.500,19.2
1917.503,-20.2
1917.503,-15.4
1917.503,-17.0
1917.503,8.2
1917.503,11.2
1917.506,-18.8
1917.506,-14.1
1917.506,-15.7
1917.506,10.6
1917.508,-13.8
1917.508,11.1
1917.511,-14.2
1917.511,-15.9
1917.511,7.6
1917.511,11.8
1917.511,19.6
1917.514,-14.2
1917.514,-16.1
1917.514,-19.2
1917.514,8.6
1917.514,19.2
1917.514,11.6
1917.514,18.9
1917.517,-14.0
1917.517,-16.0
1917.517,-19.9
1917.517,8.1
1917.517,8.9
1917.517,12.2
1917.519,-15.6
1917.519,-19.4
1917.519,8.7
1917.519,9.7
1917.519,19.5
1917.519,12.5
1917.522,-19.1
1917.522,8.3
1917.522,8.1
1917.522,19.4
1917.533,-10.7
1917.533,6.4
1917.533,7.3
1917.533,10.0
1917.533,14.4
1917.533,17.7
1917.535,-17.7
1917.535,13.8
1917.535,13.2
1917.535,9.2
1917.535,20.6
1917.535,17.7
1917.535,7.7
1917.538,-18.0
1917.538,13.5
1917.538,14.1
1917.538,9.4
1917.538,18.3
1917.538,8.1
1917.541,-17.5
1917.543,-17.1
1917.547,-11.6
1917.547,-21.6
1917.547,13.9
1917.547,14.7
1917.554,14.2
1917.557,15.6
1917.557,13.7
1917.557,-22.2
1917.557,-16.5
1917.557,8.2
1917.560,-21.9
1917.560,9.4
1917.560,13.7
1917.563,-22.4
1917.563,-14.4
1917.563,10.0
1917.563,15.0
1917.566,14.9
1917.566,10.6
1917.569,-15.0
1917.569,13.5
1917.569,10.4
1917.577,15.3
1917.579,5.2
1917.579,14.8
1917.582,4.4
1917.582,14.3
1917.585,5.3
1917.588,3.4
1917.588,17.3
1917.590,3.3
1917.590,-26.2
1917.590,-23.8
1917.590,13.0
1917.593,-17.5
1917.593,-27.3
1917.593,-22.2
1917.593,-21.2
1917.593,15.3
1917.593,17.5
1917.596,0.9
1917.596,-22.9
1917.596,-23.0
1917.596,-11.7
1917.596,1.6
1917.596,14.7
1917.596,13.0
1917.596,15.3
1917.599,2.1
1917.599,-21.7
1917.599,-23.0
1917.599,-17.1
1917.599,-12.3
1917.599,-14.6
1917.599,0.7
1917.599,14.0
1917.599,13.2
1917.599,16.1
1917.601,-21.8
1917.601,-23.2
1917.601,-17.2
1917.601,-12.7
1917.601,0.7
1917.601,7.9
1917.601,14.2
1917.601,14.9
1917.601,13.4
1917.601,15.1
1917.604,-22.1
1917.604,-22.8
1917.604,-15.2
1917.604,-12.1
1917.604,1.4
1917.604,15.3
1917.604,14.1
1917.604,14.2
1917.607,-13.6
1917.607,-21.5
1917.607,-10.9
1917.607,-17.5
1917.607,-18.9
1917.607,2.3
1917.607,10.5
1917.607,15.3
1917.607,16.9
1917.607,14.4
1917.607,15.1
1917.609,-13.0
1917.609,-21.2
1917.609,-10.1
1917.609,-14.5
1917.609,10.7
1917.609,15.2
1917.609,17.7
1917.609,15.5
1917.612,-13.7
1917.612,-22.0
1917.612,-10.2
1917.612,-24.1
1917.612,-13.5
1917.612,15.9
1917.612,11.3
1917.612,15.3
1917.612,17.5
1917.615,-10.5
1917.615,-16.3
1917.615,-12.6
1917.615,16.4
1917.615,11.7
1917.615,15.4
1917.615,16.7
1917.618,-17.5
1917.618,-12.6
1917.618,-21.9
1917.618,8.8
1917.618,17.6
1917.618,11.5
1917.618,13.9
1917.621,-16.6
1917.621,-12.7
1917.621,-9.6
1917.621,-24.4
1917.621,-11.4
1917.621,6.8
1917.621,16.5
1917.621,13.0
1917.621,15.9
1917.623,-15.4
1917.623,-22.8
1917.623,-23.4
1917.623,-22.8
1917.623,-26.3
1917.623,-10.7
1917.623,7.6
1917.623,17.3
1917.623,13.5
1917.626,-14.6
1917.626,-23.6
1917.626,-24.4
1917.626,-11.2
1917.626,7.8
1917.626,17.8
1917.629,-23.1
1917.629,-23.2
1917.629,-10.4
1917.629,7.5
1917.629,18.2
1917.632,-24.5
1917.632,-24.0
1917.632,-10.6
1917.632,7.6
