id,glon,glat
1,114.44,-16.88
2,98.33,-61.14
3,93.75,-65.93
4,106.19,-47.98
5,117.03,-3.92
6,321.61,-66.38
7,118.06,1.75
8,111.26,-32.83
9,52.21,-79.14
10,74.36,-75.9
11,98.02,-63.29
12,55.56,-79.07
13,355.91,-78.67
14,98.34,-63.24
15,111.73,-32.84
16,91.79,-69.04
17,113.45,-25.45
18,74.69,-76.25
19,110.97,-36.42
20,120.98,17.
21,117.52,-3.27
22,108.99,-43.51
23,316.25,-62.02
24,25.24,-80.63
25,324.34,-69.6
26,106.87,-50.43
27,115.52,-16.21
28,117.38,-5.26
29,96.99,-66.03
30,304.63,-34.77
31,87.69,-72.6
32,306.98,-43.58
33,82.24,-75.06
34,26.3,-81.13
35,347.16,-78.34
36,116.16,-14.2
37,76.32,-77.1
38,114.55,-24.55
39,109.43,-46.68
40,112.56,-35.12
41,115.27,-21.27
42,38.28,-81.49
43,36.52,-81.54
44,113.99,-29.02
45,111.3,-41.83
46,96.87,-68.76
47,303.91,-32.06
48,75.11,-78.23
49,111.92,-39.81
50,107.86,-52.98
51,95.06,-70.44
52,113.93,-30.7
53,113.1,-34.9
54,345.8,-78.99
55,120.89,14.22
56,116.23,-18.82
57,1.53,-81.18
58,305.79,-41.02
59,108.28,-53.64
60,118.83,-1.06
61,72.13,-79.47
62,117.01,-14.53
63,115.62,-23.7
64,305.07,-38.2
65,117.59,-11.09
66,77.21,-78.78
67,105.89,-60.07
68,115.59,-25.61
69,110.,-50.83
70,116.7,-18.68
71,114.79,-30.84
72,99.29,-69.4
73,323.2,-72.58
74,98.98,-70.19
75,116.46,-21.74
76,117.63,-13.68
77,308.35,-51.9
78,115.13,-31.47
79,115.53,-29.52
80,109.91,-53.9
81,110.93,-51.18
82,116.37,-24.52
83,306.87,-47.27
84,15.52,-83.15
85,77.51,-80.2
86,112.19,-48.78
87,305.04,-39.58
88,97.34,-73.64
89,358.89,-82.7
90,117.07,-23.98
91,118.68,-10.63
93,119.79,-0.88
94,107.27,-64.27
