year,month,day,extent
1978,10,26,10.23
1978,10,28,10.42
1978,10,30,10.56
1978,11,1,10.67
1978,11,3,10.78
1978,11,5,10.97
1978,11,7,11.08
1978,11,9,11.19
1978,11,11,11.31
1978,11,13,11.46
1978,11,15,11.54
1978,11,17,11.70
1978,11,19,11.87
1978,11,21,12.05
1978,11,23,12.27
1978,11,25,12.44
1978,11,27,12.66
1978,11,29,12.68
1978,12,1,12.72
1978,12,3,12.66
1978,12,5,12.79
1978,12,7,13.05
1978,12,9,13.14
1978,12,11,13.44
1978,12,13,13.60
1978,12,15,13.65
1978,12,17,13.81
1978,12,19,13.89
1978,12,21,14.00
1978,12,23,14.19
1978,12,25,14.27
1978,12,27,14.38
1978,12,29,14.50
1978,12,31,14.59
1979,1,2,15.00
1979,1,4,14.92
1979,1,6,14.93
1979,1,8,14.97
1979,1,10,15.19
1979,1,12,15.33
1979,1,14,15.35
1979,1,16,15.50
1979,1,18,15.52
1979,1,20,15.71
1979,1,22,15.68
1979,1,24,15.74
1979,1,26,15.69
1979,1,28,15.78
1979,1,30,15.91
1979,2,1,15.86
1979,2,3,15.84
1979,2,5,15.83
1979,2,7,15.80
1979,2,9,15.99
1979,2,11,16.10
1979,2,13,16.29
1979,2,15,16.32
1979,2,17,16.34
1979,2,19,16.29
1979,2,21,16.26
1979,2,23,16.40
1979,2,25,16.58
1979,2,27,16.55
1979,3,1,16.64
1979,3,3,16.46
1979,3,5,16.57
1979,3,7,16.55
1979,3,9,16.54
1979,3,11,16.51
1979,3,13,16.41
1979,3,15,16.31
1979,3,17,16.47
1979,3,19,16.50
1979,3,21,16.35
1979,3,23,16.28
1979,3,25,16.26
1979,3,27,16.06
1979,3,29,15.76
1979,3,31,15.80
1979,4,2,15.66
1979,4,4,15.64
1979,4,6,15.70
1979,4,8,15.79
1979,4,10,15.76
1979,4,12,15.65
1979,4,14,15.50
1979,4,16,15.45
1979,4,18,15.51
1979,4,20,15.34
1979,4,22,15.26
1979,4,24,15.22
1979,4,26,15.14
1979,4,28,15.11
1979,4,30,14.96
1979,5,2,14.63
1979,5,4,14.50
1979,5,6,14.45
1979,5,8,14.32
1979,5,10,14.15
1979,5,12,14.01
1979,5,14,13.84
1979,5,16,13.86
1979,5,18,13.69
1979,5,20,13.56
1979,5,22,13.53
1979,5,24,13.36
1979,5,26,13.40
1979,5,28,13.29
1979,5,30,13.26
1979,6,1,13.08
1979,6,3,12.98
1979,6,5,12.83
1979,6,7,12.79
1979,6,9,12.85
1979,6,11,12.73
1979,6,13,12.67
1979,6,15,12.55
1979,6,17,12.52
1979,6,19,12.41
1979,6,21,12.37
1979,6,23,12.24
1979,6,25,12.11
1979,6,27,11.98
1979,6,29,11.83
1979,7,1,11.56
1979,7,3,11.36
1979,7,5,11.26
1979,7,7,10.94
1979,7,9,10.79
1979,7,11,10.66
1979,7,13,10.50
1979,7,15,10.40
1979,7,17,10.26
1979,7,19,9.93
1979,7,21,9.92
1979,7,23,9.67
1979,7,25,9.61
1979,7,27,9.56
1979,7,29,9.34
1979,7,31,9.22
1979,8,2,9.00
1979,8,4,8.86
1979,8,6,8.74
1979,8,8,8.61
1979,8,10,8.33
1979,8,12,8.28
1979,8,14,8.14
1979,8,16,7.97
1979,8,18,7.81
1979,8,20,7.66
1979,8,22,7.57
1979,8,24,7.58
1979,8,26,7.42
1979,8,28,7.36
1979,8,30,7.28
1979,9,1,7.23
1979,9,3,7.15
1979,9,5,7.04
1979,9,7,7.08
1979,9,9,7.09
1979,9,11,6.98
1979,9,13,7.00
1979,9,15,7.01
1979,9,17,7.00
1979,9,19,6.91
1979,9,21,6.89
1979,9,23,7.03
1979,9,25,7.06
1979,9,27,7.13
1979,9,29,7.17
1979,10,1,7.40
1979,10,3,7.53
1979,10,5,7.81
1979,10,7,7.88
1979,10,9,8.12
1979,10,11,8.14
1979,10,13,8.34
1979,10,15,8.57
1979,10,17,8.94
1979,10,19,9.19
1979,10,21,9.29
1979,10,23,9.47
1979,10,25,9.70
1979,10,27,9.87
1979,10,29,9.80
1979,10,31,9.92
