hostname,pl_orbsmax,pl_bmassj,pl_radj
"Kepler-11",0.106000,0.04200,0.281
"Kepler-11",0.250000,0.00700,0.233
"HAT-P-1",0.055300,0.53200,1.242
"OGLE-TR-10",0.043400,0.62000,1.250
"TrES-2",0.035560,1.19900,1.272
"WASP-3",0.031510,1.76000,1.290
"HAT-P-30",0.041900,0.71100,1.340
"HR 8799",68.000000,7.00000,1.200
"CoRoT-18",0.029500,3.47000,1.310
"Kepler-17",0.025910,2.45000,1.310
"CoRoT-19",0.051800,1.11000,1.290
"Kepler-24",0.106000,1.60000,0.250
"Kepler-32",0.050000,4.10000,0.196
"KELT-1",0.024660,27.23000,1.110
"WASP-7",0.061700,0.96000,1.330
"HAT-P-40",0.060800,0.61500,1.730
"TrES-2",0.036350,1.25300,1.261
"HAT-P-1",0.055350,0.52400,1.217
"TrES-3",0.022830,1.91000,1.305
"OGLE-TR-113",0.022780,1.24000,1.111
"WASP-10",0.037800,3.16000,1.067
"WASP-77 A",0.024000,1.76000,1.210
"Kepler-63",0.080000,0.37800,0.545
"HD 17156",0.161400,3.22000,1.020
"HAT-P-2",0.068780,9.09000,1.157
"CoRoT-3",0.056940,21.23000,0.993
"WASP-33",0.025550,4.10000,1.497
"HAT-P-2",0.067700,8.62000,0.951
"HAT-P-1",0.055610,0.52500,1.319
"HAT-P-18",0.055900,0.19600,0.947
"KELT-6",0.080000,0.44200,1.180
"HAT-P-36",0.023880,1.85200,1.304
"WASP-11",0.043750,0.49200,0.990
"Kepler-5",0.053800,2.11100,1.426
"K2-22",0.008800,1.40000,0.223
"WASP-19",0.016160,1.11400,1.395
"WASP-57",0.037690,0.64400,1.050
"WASP-97",0.033030,1.32000,1.130
"KOI-1257",0.382000,1.45000,0.940
"HD 149026",0.042000,0.36000,0.725
"K2-29",0.042170,0.73000,1.190
"GJ 436",0.031090,0.07280,0.374
"HAT-P-16",0.041300,4.18900,1.190
"WASP-36",0.026770,2.36100,1.327
"WASP-117",0.094590,0.27550,1.021
"WASP-46",0.023350,1.91000,1.174
"Kepler-44",0.045700,1.03000,1.200
"Kepler-40",0.080200,2.16000,1.440
"Kepler-45",0.029540,0.50000,0.999
"WASP-2",0.030700,0.86600,1.077
"WASP-80",0.034400,0.53800,0.999
"Qatar-1",0.022980,1.27500,1.136
"Qatar-1",0.023130,1.29300,1.142
"KOI-12",0.151000,10.00000,1.430
"2MASS J02192210-3925225",156.000000,13.90000,1.440
"KELT-7",0.044150,1.28000,1.533
"GJ 3470",0.035960,0.04436,0.385
"WASP-94 A",0.055000,0.45200,1.720
"Kepler-43",0.044000,3.03000,1.120
"Kepler-427",0.091000,0.29000,1.230
"OGLE-TR-113",0.022900,1.32000,1.090
"XO-2 N",0.036730,0.59700,1.019
"Kepler-41",0.031010,0.56000,1.290
"CoRoT-12",0.039400,0.88700,1.350
"WASP-18",0.020000,10.20000,1.300
"WASP-28",0.044690,0.90700,1.213
"WASP-20",0.060000,0.31100,1.462
"WASP-6",0.041400,0.48500,1.230
"WASP-85 A",0.039000,1.26500,1.240
"KELT-10",0.052500,0.67900,1.399
"K2-34",0.044500,1.77300,1.440
"WASP-121",0.025440,1.18300,1.865
"Qatar-1",0.023430,1.33000,1.180
"WASP-127",0.052000,0.18000,1.370
"WASP-53",0.041010,2.13200,1.074
"TRAPPIST-1",0.037100,0.00214,0.093
"KELT-9",0.034620,2.88000,1.891
"WASP-167",0.036500,8.00000,1.580
"WASP-107",0.055300,0.11900,0.924
"WASP-20",0.058100,0.37800,1.280
"WASP-49",0.038730,0.39900,1.198
"WASP-14",0.036000,7.34100,1.281
"HR 2562",20.300000,30.00000,1.110
"Qatar-2",0.021360,2.46600,1.115
"GJ 1132",0.015300,0.00522,0.101
"WASP-174",0.055900,1.30000,1.300
"MASCARA-1",0.043000,3.70000,1.500
"WASP-5",0.026830,1.58000,1.090
"WASP-118",0.054500,0.52000,1.394
"K2-261",0.102000,0.22300,0.850
"K2-265",0.033760,0.02058,0.153
"K2-266",0.067900,0.00091,0.063
"WASP-158",0.051700,2.79000,1.070
"WASP-173 A",0.024800,3.69000,1.200
"WASP-161",0.067300,2.49000,1.143
"Kepler-428",0.043310,1.28000,1.080
"WASP-72",0.037110,1.44600,1.270
"WASP-65",0.033400,1.54000,1.112
"WASP-103",0.019870,1.45500,1.528
"CoRoT-25",0.057890,0.29300,1.080
"HAT-P-45",0.045210,0.86000,1.426
"HAT-P-53",0.031600,1.47700,1.318
"HATS-7",0.040120,0.12300,0.563
"WASP-19",0.016490,1.15700,1.310
"WASP-32",0.039040,3.49000,1.100
"WASP-5",0.027390,1.59000,1.175
"HAT-P-40",0.060760,0.58100,1.730
"WASP-74",0.034430,0.82600,1.404
"TOI-172",0.091400,5.42000,0.965
"KOI-1599",0.112293,0.02832,0.170
"WASP-103",0.019850,1.49000,1.528
"HAT-P-36",0.024020,1.92500,1.357
"Kepler-107",0.126390,0.02706,0.259
"Kepler-9",0.143000,0.13655,0.740
"WASP-166",0.064100,0.10100,0.630
"HAT-P-69",0.065550,3.58000,1.676
"HAT-P-25",0.046600,0.56900,1.135
"HD 202772 A",0.052080,1.01700,1.545
"HATS-70",0.036320,12.90000,1.384
"WASP-190",0.066300,1.00000,1.150
"HAT-P-29",0.066690,0.67600,1.107
"HATS-3",0.048520,1.10000,1.381
"CoRoT-6",0.085400,2.95000,1.166
"CoRoT-12",0.040130,0.91500,1.440
"CoRoT-14",0.026910,7.42000,1.090
"HAT-P-32",0.034270,0.75000,1.789
"HAT-P-33",0.049950,0.66000,1.686
"HAT-P-35",0.049780,1.05600,1.332
"Kepler-425",0.046520,0.22600,0.978
"Kepler-424",0.043650,1.07600,0.890
"WASP-127",0.048400,0.16470,1.311
"Kepler-1661",0.633000,0.05349,0.345
"HATS-49",0.045150,0.35300,0.765
"CoRoT-31",0.058600,0.84000,1.460
"HAT-P-8",0.048700,1.52000,1.500
"WASP-148",0.084500,0.29100,0.722
"PDS 70",34.000000,2.00000,2.040
"TOI-1899",0.158700,0.66000,1.150
"TOI-763",0.101100,0.02932,0.235
"TOI-954",0.049630,0.17400,0.852
"TOI-942",0.049800,0.05034,0.378
"TOI-251",0.057410,1.00000,0.244
"HD 136352",0.096900,0.01454,0.132
"TOI-776",0.065200,0.01259,0.165
"TOI-561",0.010640,0.01007,0.129
"Kepler-8",0.048300,0.60300,1.419
"HAT-P-16",0.041300,4.19300,1.289
"WASP-2",0.030700,0.88000,0.955
"WASP-107",0.055800,0.12000,0.948
"HR 8799",38.000000,10.00000,1.200
"XO-6",0.081500,4.40000,2.070
"KOI-12",0.154000,1.10000,1.230
"MASCARA-4",0.047000,3.10000,1.530
"HD 189733",0.031060,1.16600,1.119
"WASP-44",0.034530,0.87000,1.100
"WASP-192",0.040800,2.30000,1.230
"HAT-P-12",0.037670,0.20100,0.919
"HAT-P-3",0.038780,0.59500,0.911
"WASP-39",0.048280,0.28100,1.279
"GJ 1132",0.015330,0.00513,0.128
"GU Psc",2000.000000,11.30000,1.265
"55 Cnc",0.015830,0.02700,0.178
"WASP-43",0.014000,1.80000,0.930
"Kepler-46",0.197100,0.88500,0.810
"Kepler-28",0.062000,1.51000,0.321
"Kepler-91",0.073100,0.81000,1.367
"CoRoT-8",0.063600,0.21800,0.619
"CoRoT-20",0.089100,4.14000,1.000
"CoRoT-5",0.049500,0.45900,1.256
"CoRoT-18",0.028800,3.30000,1.146
"Kepler-138",0.130100,0.00368,0.150
"HD 80653",0.016600,0.01762,0.144
"HD 23472",0.121000,0.05638,0.167
"XO-1",0.049280,0.91800,1.206
"WASP-1",0.039570,0.91800,1.514
"WASP-1",0.038890,0.85400,1.483
"HD 23472",0.170000,0.05405,0.192
"CoRoT-12",0.039200,0.87300,1.344
"Kepler-47",0.699200,0.05984,0.628
"WASP-19",0.016530,1.16500,1.376
"Kepler-47",0.287700,0.00651,0.272
"WASP-80",0.034790,0.56200,0.986
"XO-2 N",0.036800,0.56600,0.993
"HATS-67",0.030320,1.45000,1.685
"TYC 8998-760-1",320.000000,6.00000,1.100
"TOI-220",0.089110,0.04342,0.270
"HATS-15",0.027120,2.17000,1.105
"WASP-79",0.052100,0.84300,1.820
"Kepler-16",0.704800,0.33300,0.754
"WASP-21",0.052120,0.29700,1.070
"Qatar-3",0.037830,4.31000,1.096
"HATS-68",0.050710,1.29000,1.232
"BD+20 594",0.241000,0.05129,0.199
"CoRoT-24",0.056000,0.01800,0.330
"KELT-14",0.030050,1.28400,1.743
"Kepler-79",0.287000,0.01900,0.639
"Kepler-75",0.081800,10.10000,1.050
"WASP-45",0.040500,1.00200,0.992
"HATS-12",0.047950,2.38000,1.350
"WASP-50",0.029450,1.46000,1.153
"HATS-18",0.017610,1.98000,1.337
"Kepler-40",0.079500,2.12000,1.270
"WASP-140",0.032300,2.44000,1.440
"Kepler-47",0.296200,2.00000,0.270
"WASP-159",0.053800,0.55000,1.380
"WASP-69",0.045250,0.26000,1.057
"K2-138",0.104470,0.00513,0.259
"WASP-65",0.033400,1.55000,1.112
"HATS-55",0.054120,0.92100,1.251
"Qatar-2",0.021600,2.60000,1.150
"WASP-10",0.036900,2.96000,1.280
"Kepler-80",0.079200,0.02121,0.244
"TOI-421",0.056000,0.02256,0.239
"GJ 436",0.029100,0.07000,0.372
"K2-111",0.057000,0.01664,0.162
"HAT-P-35",0.049800,1.05400,1.332
"HAT-P-52",0.036940,0.81800,1.009
"WASP-16",0.042100,0.85500,1.008
"WASP-32",0.039400,3.60000,1.180
"K2-24",0.247000,0.08495,0.698
"HD 209458",0.047470,0.71400,1.380
"Qatar-5",0.041270,4.32000,1.107
"WASP-3",0.031850,2.03000,1.416
"OGLE-TR-132",0.030350,1.18000,1.200
"WASP-118",0.054530,0.51400,1.440
"OGLE-TR-56",0.023850,3.30000,1.363
"WASP-39",0.048590,0.27500,1.270
"WASP-3",0.031500,1.98000,1.400
"WASP-26",0.039660,1.02000,1.216
"LHS 1140",0.087500,0.02092,0.128
"LHS 1140",0.093600,0.02196,0.154
"LHS 1140",0.026750,0.00569,0.114
"LHS 1140",0.095700,0.02007,0.146
"LHS 1140",0.027340,0.00554,0.104
"Kepler-76",0.027400,2.01000,1.360
"WASP-99",0.071700,2.80000,1.100
"WASP-2",0.031380,0.91500,1.071
"WASP-41",0.040000,0.94000,1.180
"K2-132",0.091600,0.49500,1.089
"K2-137",0.005800,0.50000,0.079
"HR 8799",16.400000,10.00000,1.170
"CoRoT-4",0.091200,0.73100,1.160
"NGTS-12",0.075700,0.20800,1.048
"HAT-P-68",0.029960,0.72400,1.072
"CoRoT-20",0.090200,4.24000,0.840
"WASP-14",0.037200,7.90000,1.633
"WASP-147",0.054900,0.27500,1.115
"HATS-14",0.038150,1.07100,1.039
"Kepler-44",0.044600,1.00000,1.090
"OGLE2-TR-L9",0.040400,4.34000,1.614
"K2-232",0.103560,0.39800,1.000
"HD 189733",0.031420,1.15000,1.151
"TrES-3",0.022760,1.89900,1.310
"CoRoT-27",0.047600,10.39000,1.007
"Kepler-426",0.041400,0.34000,1.090
"CoRoT-22",0.092000,0.03800,0.435
"WASP-182",0.045100,0.14800,0.850
"GJ 436",0.028870,0.07370,0.365
"TRAPPIST-1",0.015210,0.00434,0.094
"HIP 116454",0.090600,0.03700,0.226
"HATS-47",0.042690,0.36900,1.117
"WASP-24",0.036350,1.10900,1.303
"WASP-4",0.023200,1.25000,1.341
"HATS-53",0.047530,0.59500,1.340
"HIP 65 A",0.017820,3.21300,2.030
"WASP-7",0.062400,0.98000,1.374
"Kepler-412",0.029590,0.93900,1.325
"WASP-33",0.023900,2.09300,1.593
"K2-98",0.094300,0.10131,0.384
"WASP-39",0.048580,0.28300,1.332
"Kepler-74",0.084000,0.68000,1.320
"Kepler-27",0.191000,13.80000,0.437
"HAT-P-30",0.041900,0.74600,1.340
"HAT-P-37",0.037910,1.19000,1.231
"HATS-61",0.079080,3.40000,1.195
"WASP-106",0.091700,1.90900,1.085
"Kepler-47",0.963800,0.00997,0.415
"WASP-28",0.044640,0.92700,1.250
"HAT-P-7",0.038050,1.79900,1.465
"WASP-42",0.056100,0.52700,1.122
"WASP-70 A",0.048530,0.59000,1.164
"WASP-114",0.028510,1.76900,1.339
"WASP-73",0.055170,1.87900,1.160
"HAT-P-3",0.038820,0.59600,0.899
"HD 209458",0.047070,0.68200,1.359
"Kepler-80",0.037200,0.02124,0.136
"OGLE-TR-111",0.046510,0.54000,1.077
"Kepler-44",0.044600,0.98100,1.090
"CoRoT-8",0.063390,0.21800,0.570
"HAT-P-2",0.067400,8.74000,1.190
"HD 209458",0.046000,0.62000,1.420
"WASP-15",0.049900,0.54200,1.428
"WASP-18",0.020870,10.40000,1.191
"WASP-26",0.039850,1.02800,1.281
"CoRoT-5",0.049630,0.47800,1.388
"Kepler-433",0.067800,2.81000,1.450
"WASP-44",0.034740,0.87800,1.140
"HAT-P-15",0.096500,1.94900,1.072
"NGTS-13",0.054900,4.84000,1.142
"Kepler-36",0.128300,0.02500,0.328
"Kepler-40",0.080400,2.07000,1.440
"HAT-P-21",0.049500,3.97000,1.024
"K2-3",0.141300,0.00975,0.158
"XO-1",0.049300,0.91300,1.206
"Lupus-TR-3",0.046400,0.81000,0.890
"WASP-26",0.039970,1.03800,1.320
"HD 219134",0.065300,0.01372,0.135
"WASP-11",0.043760,0.53200,0.990
"XO-4",0.055240,1.61200,1.340
"WASP-50",0.029450,1.46800,1.153
"Qatar-1",0.023430,1.09000,1.164
"Kepler-107",0.083770,0.01196,0.077
"WASP-186",0.060000,4.22000,1.110
"WASP-36",0.026430,2.30300,1.281
"HAT-P-17",0.088200,0.53700,1.010
"HAT-P-31",0.061000,2.14700,1.070
"HAT-P-14",0.060620,2.30300,1.150
"Kepler-5",0.050710,2.12600,1.431
"HATS-72",0.066517,0.12540,0.722
"Kepler-82",0.168300,0.03823,0.363
"Kepler-4",0.045600,0.07700,0.357
"HAT-P-36",0.023800,1.83200,1.264
"HAT-P-20",0.036000,7.30000,0.870
"Kepler-7",0.060670,0.44100,1.622
"EPIC 211945201",0.148000,0.08495,0.546
"K2-36",0.022300,0.01227,0.128
"GJ 3470",0.035500,0.04373,0.408
"Kepler-289",0.510000,0.42000,1.034
"CoRoT-27",0.046700,10.30000,1.007
"GJ 1252",0.009160,0.00658,0.106
"WASP-35",0.043170,0.72000,1.320
"TrES-5",0.024500,1.80400,1.203
"Kepler-12",0.055630,0.43300,1.695
"Kepler-433",0.067900,2.82000,1.450
"Kepler-39",0.164000,20.10000,1.240
"HAT-P-7",0.037700,1.77600,1.342
"WASP-135",0.024300,1.90000,1.300
"Kepler-138",0.092200,0.01636,0.149
"HAT-P-30",0.041900,0.73300,1.469
"Kepler-82",0.262600,0.04373,0.476
"Kepler-51",0.251400,0.00700,0.633
"Kepler-11",0.250000,0.00600,0.222
"HATS-3",0.048500,1.07100,1.381
"TRAPPIST-1",0.021440,0.00129,0.069
"Kepler-43",0.044400,3.13000,1.160
"TrES-2",0.035670,1.20600,1.193
"HD 17156",0.163700,3.26200,1.065
"WASP-104",0.029180,1.27200,1.137
"HAT-P-5",0.040750,1.06000,1.260
"WASP-44",0.034430,0.86700,0.980
"Qatar-4",0.028030,6.10000,1.135
"WASP-133",0.034500,1.16000,1.210
"OGLE-TR-56",0.023830,1.39000,1.363
"HAT-P-4",0.044600,0.68000,1.270
"CoRoT-19",0.051200,1.09000,1.190
"Kepler-10",0.240700,0.06300,0.199
"Kepler-11",0.194000,0.02600,0.404
"Kepler-87",0.676000,0.02000,0.548
"HAT-P-2",0.067700,9.04000,0.982
"Kepler-12",0.055500,0.43000,1.706
"Kepler-138",0.076000,0.00059,0.063
"HATS-52",0.024980,2.24000,1.382
"WASP-36",0.026410,2.29500,1.330
"WASP-160 B",0.045200,0.27800,1.090
"HATS-24",0.023800,2.26000,1.395
"Qatar-7",0.035200,1.88000,1.700
"WASP-73",0.055120,1.88000,1.160
"KOI-13",0.036410,9.28000,1.512
"TrES-3",0.022600,1.92000,1.295
"XO-3",0.045290,11.83000,1.248
"LHS 1815",0.040400,0.02737,0.097
"WASP-47",0.052000,1.21000,1.150
"K2-237",0.035300,1.23600,1.642
"WASP-12",0.023200,1.46500,1.937
"HAT-P-23",0.023200,2.09000,1.368
"Kepler-43",0.046000,3.23000,1.219
"Kepler-44",0.045500,1.02000,1.240
"TrES-5",0.024590,1.79000,1.194
"GJ 3470",0.035570,0.04373,0.431
"WASP-2",0.030920,0.88000,1.063
"CoRoT-30",0.084400,2.90000,1.009
"WASP-93",0.042110,1.47000,1.597
"CoRoT-8",0.063300,0.21600,0.712
"TOI-776",0.100000,0.01668,0.180
"TOI-178",0.026070,0.00472,0.103
"Kepler-7",0.062240,0.43300,1.478
"TRAPPIST-1",0.061935,0.00104,0.069
"HAT-P-37",0.037900,1.16900,1.178
"XO-1",0.049440,0.92400,1.206
"HATS-1",0.044400,1.85500,1.302
"CoRoT-17",0.046100,2.43000,1.020
"HATS-31",0.047800,0.88000,1.640
"HAT-P-50",0.045300,1.35000,1.288
"Kepler-20",0.350600,0.03168,0.245
"WASP-17",0.051300,0.48600,1.747
"Kepler-5",0.049670,2.04000,1.210
"K2-38",0.096400,0.03115,0.216
"HATS-63",0.040260,0.96000,1.207
"HATS-62",0.041630,0.17900,1.055
"WASP-18",0.020340,10.29000,1.158
"WASP-144",0.031600,0.44000,0.850
"HAT-P-13",0.043830,0.89900,1.487
"WD 1856+534",0.020400,13.80000,0.928
"K2-132",0.086000,0.49000,1.300
"OGLE-TR-111",0.047000,0.53000,1.005
"TOI-1231",0.128800,0.04845,0.326
"TRAPPIST-1",0.022280,0.00093,0.070
"OGLE-TR-56",0.019420,1.39000,1.378
"K2-97",0.081000,0.48000,1.310
"SWEEPS-11",0.030000,9.70000,1.130
"TRAPPIST-1",0.029283,0.00243,0.081
"TRAPPIST-1",0.046877,0.00361,0.102
"XO-2 N",0.036800,0.56500,0.996
"TRAPPIST-1",0.038534,0.00294,0.093
"TRAPPIST-1",0.011548,0.00320,0.100
"WASP-13",0.053620,0.47700,1.389
"Kepler-643",0.126000,1.01000,1.140
"KOI-1599",0.147280,0.01447,0.170
"TRAPPIST-1",0.015815,0.00364,0.098
"SWEEPS-4",0.055000,3.80000,0.810
"XO-2 N",0.036470,0.55500,0.992
"K2-115",0.136700,0.84000,1.115
"WASP-81",0.039080,0.72900,1.429
"K2-291",0.032610,0.02042,0.142
"HAT-P-44",0.050700,0.35200,1.242
"K2-3",0.208600,0.03492,0.136
"K2-232",0.099100,0.38700,1.058
"AU Mic",0.066000,0.18000,0.375
"HD 89345",0.111500,0.12100,0.648
"HD 63454",0.036800,0.39800,1.098
"HAT-P-11",0.052540,0.07362,0.389
"K2-266",0.103500,0.02800,0.261
"WASP-178",0.054500,1.41000,1.940
"55 Cnc",0.015440,0.02457,0.186
"HAT-P-9",0.052870,0.74900,1.393
"EPIC 246851721",0.072290,3.00000,1.051
"WASP-12",0.023400,1.47000,1.900
"WASP-2",0.031440,0.93100,1.081
"Qatar-1",0.023320,1.29400,1.143
"KELT-12",0.067080,0.95000,1.780
"KELT-15",0.046130,0.91000,1.443
"GJ 9827",0.039420,0.00761,0.113
"HD 136352",0.172900,0.03552,0.233
"K2-260",0.040400,1.42000,1.552
"KELT-21",0.052240,3.91000,1.586
"KELT-14",0.029560,1.19600,1.520
"KELT-24",0.069690,5.18000,1.272
"GJ 414 A",0.232400,0.02391,0.235
"KELT-18",0.045500,1.18000,1.570
"KELT-20",0.054200,3.38200,1.741
"KELT-3",0.041220,1.47700,1.345
"HD 219134",0.038200,0.01364,0.143
"K2-3",0.077500,0.02643,0.185
"GJ 414 A",1.400000,0.16937,0.749
"HD 97658",0.079600,0.02473,0.209
"K2-266",0.013060,0.03545,0.294
"HAT-P-1",0.055100,0.53000,1.360
"HAT-P-29",0.066500,0.76700,1.064
"HD 114762",0.353000,10.98000,1.110
"K2-266",0.124900,0.04499,0.244
"GJ 9827",0.018880,0.01076,0.145
"KELT-19 A",0.063700,4.07000,1.910
"WASP-173 A",0.025080,3.47000,1.285
"WASP-45",0.039630,0.96400,0.946
"K2-329",0.101600,0.26000,0.774
"KELT-11",0.062290,0.19500,1.370
"WASP-19",0.016550,1.16800,1.386
"K2-3",0.140500,0.00661,0.147
"KELT-16",0.020440,2.75000,1.415
"TOI-763",0.060000,0.03080,0.203
"GJ 9827",0.056150,0.01636,0.185
"HAT-P-32",0.033970,0.68000,1.980
"KELT-23 A",0.033020,0.93800,1.323
"KELT-17",0.048810,1.31000,1.525
"HD 89345",0.106600,0.11000,0.660
"CT Cha",440.000000,17.00000,2.200
"HAT-P-7",0.035500,1.78100,1.419
"HATS-44",0.036490,0.56000,1.067
"Kepler-434",0.114300,2.86000,1.130
"WASP-82",0.044700,1.24000,1.670
"HD 213885",0.020120,0.02778,0.156
"HD 15337",0.052450,0.02265,0.152
"WASP-83",0.059000,0.30000,1.040
"PDS 70",20.000000,3.00000,2.720
"KOI-3680",0.534000,1.93000,0.990
"WASP-83",0.059000,0.30500,1.040
"KPS-1",0.026900,1.09000,1.030
"Kepler-6",0.044480,0.64700,1.169
"KELT-20",0.057000,17.00000,1.830
"WASP-11",0.043500,0.48700,1.005
"HAT-P-25",0.046590,0.56700,1.190
"WASP-17",0.051250,0.47700,1.932
"TrES-2",0.036700,1.28000,1.240
"K2-34",0.044190,1.76000,1.350
"HAT-P-41",0.042580,0.79500,1.685
"WASP-57",0.038600,0.67200,0.916
"Kepler-424",0.044000,1.03000,0.890
"XO-2 N",0.036840,0.56600,0.983
"Kepler-31",0.260000,4.70000,0.473
"WASP-95",0.034160,1.13000,1.210
"Kepler-46",0.196800,6.00000,0.808
"Kepler-101",0.068400,0.01000,0.112
"WASP-68",0.062060,0.95000,1.240
"TOI-216",0.206900,0.62927,1.007
"Kepler-538",0.466900,0.03335,0.198
"HATS-40",0.049970,1.59000,1.580
"TrES-4",0.051590,0.49800,1.838
"NGTS-11",0.201000,0.34400,0.817
"CoRoT-2",0.028100,3.31000,1.465
"Kepler-43",0.044900,3.23000,1.200
"WASP-1",0.038980,0.86000,1.484
"K2-139",0.179000,0.38700,0.808
"TOI-628",0.048600,6.33000,1.060
"KELT-4 A",0.043170,0.90200,1.699
"K2-32",0.080360,0.05191,0.458
"K2-32",0.186200,0.03241,0.306
"K2-32",0.139900,0.03807,0.269
"TOI-1235",0.038450,0.02174,0.155
"TOI-1235",0.038260,0.01856,0.151
"TOI-269",0.034500,0.02769,0.247
"CFHTWIR-Oph 98 A",200.000000,7.80000,1.860
"K2-32",0.079500,0.04720,0.473
"K2-32",0.138430,0.02549,0.280
"K2-32",0.184220,0.02108,0.311
"K2-32",0.048990,0.00661,0.108
"K2-233",0.033080,0.03543,0.120
"K2-233",0.066660,0.04030,0.114
"K2-233",0.152240,0.06651,0.210
"HD 221416",0.122800,0.19000,0.836
"WASP-61",0.052100,2.06000,1.210
"WASP-22",0.046980,0.58800,1.158
"WASP-69",0.045250,0.26000,1.057
"WASP-87",0.029460,2.18000,1.385
"WASP-43",0.015040,1.99800,1.006
"WASP-180 A",0.048000,0.90000,1.240
"WASP-78",0.036700,0.86000,2.060
"HAT-P-20",0.035930,7.22000,1.025
"WASP-79",0.051900,0.85000,1.530
"WASP-52",0.027200,0.46000,1.270
